Year,E1
1961,297.80
1963,256.00
1964,225.60
1965,179.20
1966,172.94
1967,151.03
1968,139.04
1969,134.86
1970,127.90
1971,87.07
1972,82.90
1973,68.18
1974,75.75
1975,61.48
1976,75.13
1977,62.11
1978,68.52
1979,67.81
1980,63.31
1981,51.03
1982,52.95
1983,51.08
1984,62.10
1985,57.82
1986,51.15
1987,40.59
1988,31.62
1989,22.71
1990,25.82
1992,37.12
1994,21.50
2003,22.37
2004,24.94
2005,24.20
2006,24.68
2007,19.78
2008,25.33
2009,17.78
2010,18.56
2011,25.02
2012,18.23
2013,14.69
2014,19.89
2015,22.59
2016,17.61
2017,21.99
