Country (Country),FAO area,id,Fishing area (FAO major fishing area),ISO3,3A,ISSCAAP,ISSCAAP species group,taxgroup,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Malaysia,Ind-E,Albacore,"Indian Ocean, Eastern",MYS,ALB,36,"Tunas, bonitos, billfishes",tuna-billfish,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,10,193,350,285,202,2034,,555,947,714,1028
Malaysia,Pac-WC,Albacore,"Pacific, Western Central",MYS,ALB,36,"Tunas, bonitos, billfishes",tuna-billfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,177
Malaysia,Pac-WC,"Anchovies, etc. nei","Pacific, Western Central",MYS,ANX,35,"Herrings, sardines, anchovies",forage fish,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,300,200,100,200,400,376,402,221,187,298,426,775,596,164,596,605,663,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Pac-WC,Barracudas nei,"Pacific, Western Central",MYS,BAR,37,Miscellaneous pelagic fishes,other marine fish,0,0,0,0,,,,,,,,,,,0,0,100,100,200,200,110,140,140,180,280,336,426,354,1335,698,471,778,570,531,544,527,794,692,1404,1257,976,1927,2579,2856,3148,3966,4089,5642,6445,7231,6712,6057,5247,4939,5470,5259,5673,5592,6797,6407,6081,5419,5256,5659,5958,6662
Malaysia,Ind-E,Barracudas nei,"Indian Ocean, Eastern",MYS,BAR,37,Miscellaneous pelagic fishes,other marine fish,0,0,0,0,,,,,,,,,,,100,100,100,200,300,300,190,260,260,320,520,613,778,645,2437,1144,1334,894,1165,1187,1163,1119,1345,1125,1488,1460,1504,1249,1334,1036,815,730,844,1012,709,872,735,554,716,669,720,883,938,1263,1183,1578,1590,3342,1791,1356,1420,1208
Malaysia,Pac-WC,Barramundi(=Giant seaperch),"Pacific, Western Central",MYS,GIP,25,Miscellaneous diadromous fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,42,82,3,29,37,3,823,433,63,1189,1670,1529,1604,1263,1280,827,979,1342,1560,1427,1339,1219,1575,1604,1642,1633,1354,1262,1142,1120,1268,1505,1646,1044
Malaysia,Ind-E,Barramundi(=Giant seaperch),"Indian Ocean, Eastern",MYS,GIP,25,Miscellaneous diadromous fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,33,140,102,155,98,160,154,66,50,34,48,30,61,73,64,56,42,47,901,55,141,91,101,116,174,182,173,172,160,168,215,240,231,179,177,509
Malaysia,Pac-WC,Bigeye scad,"Pacific, Western Central",MYS,BIS,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17694,,,,40517,31685,33329,34288,37600,49837,34598,41616
Malaysia,Ind-E,Bigeye scad,"Indian Ocean, Eastern",MYS,BIS,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4637,,,,15121,15473,18813,16530,15162,11763,13032,12799
Malaysia,Pac-WC,Bigeye tuna,"Pacific, Western Central",MYS,BET,36,"Tunas, bonitos, billfishes",tuna-billfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,411,619,668,626,851,861
Malaysia,Ind-E,Bigeye tuna,"Indian Ocean, Eastern",MYS,BET,36,"Tunas, bonitos, billfishes",tuna-billfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,355,109,655,512,893,1322,1180,656,69,42,32,60,57
Malaysia,Pac-WC,Bigeyes nei,"Pacific, Western Central",MYS,BIG,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10366,,,,10523,15756,16358,11562,13876,12019,11464,15990
Malaysia,Ind-E,Bigeyes nei,"Indian Ocean, Eastern",MYS,BIG,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719,,,,2502,2980,4394,6644,7489,7031,5672,4865
Malaysia,Pac-WC,Black pomfret,"Pacific, Western Central",MYS,POB,37,Miscellaneous pelagic fishes,carangids-mackerels,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,20,20,20,20,28,95,101,85,92,0,0,0,2047,1448,1757,1648,2364,,,,,,,,2517,2102,2220,1932,2186,1771,1431,1199,1617,19626,3456,2677,2445,2703,3005,2973,4335,3820,3016,3525,3193,3664
Malaysia,Ind-E,Black pomfret,"Indian Ocean, Eastern",MYS,POB,37,Miscellaneous pelagic fishes,carangids-mackerels,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,200,380,280,280,380,547,1836,1941,1634,1772,3153,3158,3313,,,,,,,,,,,,,2317,2709,2430,2785,2816,3856,3115,2612,2767,1516,1561,1290,1576,1453,1232,2395,1952,1639,1268,1504,1131,2166
Malaysia,Pac-WC,Bombay-duck,"Pacific, Western Central",MYS,BUC,33,Miscellaneous coastal fishes,other marine fish,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,200,200,400,575,328,322,85,487,575,1064,743,639,296,208,186,169,,,,,,,,647,,,,,,,,,,1426,,,,1906,2440,2135,2247,2113,2473,2557,2617
Malaysia,Ind-E,Bombay-duck,"Indian Ocean, Eastern",MYS,BUC,33,Miscellaneous coastal fishes,other marine fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,574,,,,485,661,515,499,571,1354,1265,839
Malaysia,Ind-E,"Butterfishes, pomfrets nei","Indian Ocean, Eastern",MYS,BUX,37,Miscellaneous pelagic fishes,other marine fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4305,6205,3969,5540,6608,4771,4897,3868,5138,4071,4884,4631,228,268,240,275,278,165,133,109,118,387,856,936,1073,1060,1199,1769,1538,1405,1447,1816,1611,3684
Malaysia,Pac-WC,"Butterfishes, pomfrets nei","Pacific, Western Central",MYS,BUX,37,Miscellaneous pelagic fishes,other marine fish,0,0,0,0,,,,,,,,,,,0,2500,3400,3500,3300,3300,3600,3000,3000,3500,4486,4097,3662,4877,5239,4827,4025,5424,2102,2168,2891,4575,4167,3607,5578,3869,3903,4596,5177,5498,248,208,220,192,217,405,328,268,370,0,277,222,1135,75,739,1502,1512,1630,1801,1558,1570,2273
Malaysia,Pac-WC,Carangids nei,"Pacific, Western Central",MYS,CGX,37,Miscellaneous pelagic fishes,carangids-mackerels,3500,3500,2800,2100,2100,2100,2100,2100,2800,2800,3000,2100,2100,3500,4800,5000,5500,4300,3700,2900,2410,2200,4040,4250,4897,5671,6300,8191,13062,10516,9274,16120,10470,16437,14420,17775,10529,12782,15610,15445,13677,17392,19291,24347,19893,18683,19845,24561,10719,31624,33497,31318,32245,19208,21813,10896,11569,43395,10411,10864,10578,11571,11621,15034,13834,11556
Malaysia,Ind-E,Carangids nei,"Indian Ocean, Eastern",MYS,CGX,37,Miscellaneous pelagic fishes,carangids-mackerels,1500,1500,1200,900,900,900,900,900,1200,1200,1200,900,900,1500,2000,2100,2200,1800,1500,1200,990,900,1660,1750,2010,2328,2587,3363,5362,4390,5544,3846,4653,5640,6726,5416,6458,10590,9753,6926,6606,4697,4239,4859,6465,7847,6524,5319,834,5020,6117,5807,6024,1934,3387,6931,6940,19397,447,675,795,989,802,828,1462,739
Malaysia,Ind-E,Chacunda gizzard shad,"Indian Ocean, Eastern",MYS,CHG,24,Shads,forage fish,0,0,0,0,0,0,0,0,0,0,0,0,0,400,300,400,300,400,300,400,490,420,560,560,670,635,471,476,1431,878,1029,949,1464,1674,1904,3920,4607,2472,2195,2364,3140,3171,2435,2633,2595,2338,2167,1916,1474,3009,2645,2769,2350,2446,2252,3430,4131,4385,2645,2252,3501,5193,4241,5093,8023,7971
Malaysia,Pac-WC,Chacunda gizzard shad,"Pacific, Western Central",MYS,CHG,24,Shads,forage fish,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,200,210,180,240,240,282,266,198,200,601,444,380,340,181,237,111,196,326,413,624,623,861,348,396,412,1557,1200,1824,1370,1185,1364,1371,1268,1282,1501,1464,1634,1971,1812,1479,790,1009,1456,1360,1897,2315,1868
Malaysia,Ind-E,"Clams, etc. nei","Indian Ocean, Eastern",MYS,CLX,56,"Clams, cockles, arkshells",bivalves-gastropods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,900,400,300,400,400,670,760,380,290,65,4760,631,1998,483,1185,2075,2092,7902,6345,5303,3403,1124,20467,1529,782,4475,1161,7730,18424,8670,15250,17745,24663,5097,572,5115,2983,2606,6832,7944,1823,1282,4312,6322,23019,1544,1458,2500,2134,6101,3633
