SAR,lower,median,upper
0,0,0,0
0.1,0.029,0.046,0.105
0.2,0.057,0.088,0.191
0.3,0.083,0.126,0.262
0.4,0.108,0.162,0.32
0.5,0.131,0.194,0.371
0.6,0.154,0.224,0.416
0.7,0.175,0.253,0.454
0.8,0.195,0.279,0.488
0.9,0.214,0.303,0.514
1,0.233,0.326,0.539
1.1,0.25,0.347,0.567
1.2,0.267,0.367,0.587
1.3,0.282,0.385,0.606
1.4,0.297,0.403,0.626
1.5,0.313,0.42,0.642
1.6,0.327,0.436,0.657
1.7,0.34,0.451,0.67
1.8,0.353,0.465,0.68
1.9,0.365,0.478,0.692
2,0.377,0.491,0.704
2.1,0.389,0.503,0.713
2.2,0.4,0.515,0.723
2.3,0.411,0.526,0.732
2.4,0.42,0.537,0.742
2.5,0.431,0.547,0.745
2.6,0.44,0.557,0.757
2.7,0.451,0.565,0.764
2.8,0.459,0.575,0.769
2.9,0.467,0.583,0.775
3,0.476,0.591,0.782
3.1,0.485,0.6,0.787
3.2,0.492,0.607,0.792
3.3,0.501,0.615,0.796
3.4,0.507,0.622,0.802
3.5,0.515,0.628,0.806
3.6,0.522,0.635,0.81
3.7,0.528,0.641,0.815
3.8,0.535,0.647,0.819
3.9,0.541,0.653,0.823
4,0.548,0.659,0.824
4.1,0.554,0.664,0.829
4.2,0.559,0.67,0.833
4.3,0.565,0.675,0.836
4.4,0.571,0.68,0.839
4.5,0.577,0.685,0.841
4.6,0.582,0.69,0.844
4.7,0.587,0.694,0.849
4.8,0.593,0.699,0.85
4.9,0.597,0.703,0.853
5,0.602,0.707,0.856
5.1,0.606,0.711,0.859
5.2,0.612,0.715,0.861
5.3,0.616,0.719,0.863
5.4,0.621,0.723,0.865
5.5,0.625,0.727,0.868
5.6,0.629,0.73,0.869
5.7,0.633,0.734,0.871
5.8,0.638,0.737,0.873
5.9,0.641,0.74,0.875
6,0.645,0.743,0.877
6.1,0.649,0.747,0.878
6.2,0.652,0.749,0.88
6.3,0.656,0.753,0.883
6.4,0.66,0.756,0.884
6.5,0.663,0.759,0.885
6.6,0.666,0.761,0.887
6.7,0.67,0.764,0.888
6.8,0.673,0.766,0.89
6.9,0.676,0.769,0.892
7,0.68,0.772,0.892
7.1,0.683,0.774,0.894
7.2,0.685,0.776,0.895
7.3,0.688,0.779,0.897
7.4,0.691,0.781,0.898
7.5,0.694,0.784,0.899
7.6,0.697,0.785,0.9
7.7,0.7,0.788,0.901
7.8,0.703,0.79,0.902
7.9,0.705,0.792,0.904
8,0.708,0.794,0.905
8.1,0.711,0.797,0.906
8.2,0.713,0.799,0.908
8.3,0.715,0.8,0.909
8.4,0.718,0.802,0.909
8.5,0.72,0.804,0.91
8.6,0.722,0.806,0.911
8.7,0.725,0.808,0.912
8.8,0.728,0.809,0.913
8.9,0.729,0.811,0.914
9,0.731,0.813,0.914
9.1,0.734,0.814,0.915
9.2,0.736,0.816,0.916
9.3,0.738,0.818,0.917
9.4,0.741,0.82,0.918
9.5,0.742,0.821,0.918
9.6,0.744,0.823,0.92
9.7,0.746,0.824,0.92
9.8,0.748,0.826,0.921
9.9,0.75,0.827,0.922
10,0.752,0.829,0.923
10.1,0.753,0.83,0.923
10.2,0.755,0.831,0.923
10.3,0.757,0.833,0.925
10.4,0.759,0.834,0.925
10.5,0.761,0.835,0.925
10.6,0.762,0.836,0.926
10.7,0.764,0.838,0.927
10.8,0.766,0.839,0.928
10.9,0.768,0.84,0.929
11,0.769,0.841,0.929
11.1,0.77,0.843,0.93
11.2,0.773,0.844,0.93
11.3,0.774,0.845,0.93
11.4,0.776,0.846,0.931
11.5,0.776,0.847,0.932
11.6,0.778,0.849,0.932
11.7,0.78,0.849,0.933
11.8,0.782,0.851,0.933
11.9,0.783,0.852,0.934
12,0.784,0.853,0.935
