Area,Sp.group,Name,Species,2009,2011,2013,2015,2017,U2009,U2011,U2013,U2015,U2017
21,31,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,O,O,O,O,O,L,L,L,L,L
21,31,Flatfishes nei,Pleuronectiformes,, , ,, ,,,,N/A,N/A
21,31,Greenland halibut,Reinhardtius hippoglossoides,F,F,F,F,F,L,L,L,M,M
21,31,Summer flounder,Paralichthys dentatus,F,F,F,F,F,L,L,L,L,L
21,31,Winter flounder,Pseudopleuronectes americanus,,O,O,O,F,,M,M,L,L
21,31,Witch flounder,Glyptocephalus cynoglossus,O,O,O,O,O,L,L,L,L,L
21,31,Yellowtail flounder,Limanda ferruginea,F/U,U/F,U/F,O,O,L,L,L,L,L
21,31,"Other Flounders, halibuts, soles",,F,F,F,F,O,L,L,L,N/A,N/A
21,31,"31-Flounders, halibuts, soles",,,, ,, ,,,,,
21,32,Atlantic cod,Gadus morhua,F,O,O,O,O-F,L,L,L,L,L
21,32,Haddock,Melanogrammus aeglefinus,U/F,F,F,F,O,L,L,L,L,L
21,32,Saithe(=Pollock),Pollachius virens,F,F,F,F,U-F,L,L,L,L,L
21,32,Silver hake,Merluccius bilinearis,F,F,F,F,U,L,L,L,L,L
21,32,Tusk(=Cusk),Brosme brosme,O,O,O,O,F,L,L,M,,
21,32,White hake,Urophycis tenuis,O,O,O,F,O,L,L,L,L,L
21,32,"Other Cods, hakes, haddocks",,F, , ,,O,L,,, , 
21,32,"32-Cods, hakes, haddocks",,,,,, ,,,,,
21,33,33-Miscellaneous coastal fishes,,,,,, ,,,, , 
21,34,American angler,Lophius americanus,F,F,F,N,F,L,L,M,L,L
21,34,Atlantic redfishes nei,Sebastes spp,O,F/O,F/O,F,U,L,L,L,L,L
21,34,Other Miscellaneous demersal fishes,,,F,,, ,,L,L,N/A,N/A
21,34,34-Miscellaneous demersal fishes,,,,,, ,,,,,
21,35,Atlantic herring,Clupea harengus,F,F,F,N,O,L,L,L,L,L
21,35,Atlantic menhaden,Brevoortia tyrannus,F,F,F,F,F,L,L,L,,
21,35,"Other Herrings, sardines, anchovies",,,,,, ,,,,N/A,N/A
21,35,"35-Herrings, sardines, anchovies",,,,,, ,,,,,
21,37,Atlantic mackerel,Scomber scombrus,F,O,O,F,O,L,M,M,,
21,37,Capelin,Mallotus villosus,F,F,F,F,O,L,L,L,,
21,37,Other Miscellaneous pelagic fishes,,,,,, ,,,,N/A,N/A
21,37,37-Miscellaneous pelagic fishes,,,,,, ,,,,,
21,43,American lobster,Homarus americanus,F,F,F,F,F,L,L,L,,
21,45,"45-Shrimps, prawns",,,,,, ,,,,N/A,N/A
21,45,Pandalus shrimps nei,Pandalus spp,F,F,F,F,O,L,L,L,,
21,45,"Other Shrimps, prawns",,F,,,, ,L,,,,
21,55,American sea scallop,Placopecten magellanicus,F,F,F,F,U-F,L,M,L,L,L
21,55,Atlantic bay scallop,Argopecten irradians,,,O,O,O,,,H,,
