Country (Country),FAO area,id,Fishing area (FAO major fishing area),ISO3,3A,ISSCAAP,ISSCAAP species group,taxgroup,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Thailand,Pac-WC,Marine fishes nei,"Pacific, Western Central",THA,MZZ,39,Marine fishes not identified,other marine fish,26000,26000,25100,27900,33100,30400,30800,31700,34500,39200,41800,95300,117900,176900,304300,314600,334800,446600,560100,719300,636300,700200,954100,883500,746800,685059,684939,778153,814677,749509,775131,740275,796106,765280,715934,756550,919482,1057105,930994,848548,899262,780613,819913,818746,863460,805867,743398,702437,636929,660947,685805,677494,616741,611861,562426,565206,489728,455575,342669,369874,348807,322555,332994,357952,347826,342399
Thailand,Ind-E,Marine fishes nei,"Indian Ocean, Eastern",THA,MZZ,39,Marine fishes not identified,other marine fish,2000,2000,1900,2100,2500,2300,2300,2400,2600,2900,3100,7200,8900,13300,22900,23700,25200,33600,42200,54100,47900,52700,71800,10176,25339,24642,17646,145857,137948,141226,124405,146364,128225,144527,170019,155715,207859,218545,169921,220006,240492,367431,386986,453209,343607,359137,345924,333384,366129,329976,308923,306996,321107,352288,390471,362971,311953,251649,196109,203866,190161,168119,137482,128934,110754,127245
Thailand,Pac-WC,Indian mackerels nei,"Pacific, Western Central",THA,RAX,37,Miscellaneous pelagic fishes,carangids-mackerels,36700,47900,42300,45100,51700,45100,45500,54100,41600,33900,28100,21900,33900,21900,49500,65700,82300,87500,139200,124000,85800,94500,39100,52500,40400,67573,51261,26581,42917,84209,51627,69452,76047,66624,114761,107350,99629,104039,99535,103471,78279,64156,96598,76997,82021,112280,92765,91622,107083,125175,120882,106690,115642,112479,122070,117218,111865,95668,85260,81555,91470,136005,113659,127206,128835,119820
Thailand,Pac-WC,"Anchovies, etc. nei","Pacific, Western Central",THA,ANX,35,"Herrings, sardines, anchovies",forage fish,,,,,,,,,,,,,,,,,,,,,14100,15500,20300,27100,27600,16267,17296,11107,9351,19065,19536,13952,24504,40205,89639,103783,58851,56356,69127,96596,123176,115082,123288,123751,102729,123095,122423,117229,121443,103445,117025,121065,123841,132550,139326,135140,125919,118886,119964,110410,107565,110014,97192,83868,97865,99049
Thailand,Ind-E,Jellyfishes nei,"Indian Ocean, Eastern",THA,JEL,77,Miscellaneous aquatic invertebrates,other invertebrates,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2892,3700,108,17213,72893,32810,5100,22555,59001,26536,0,0,0,50,1012,5778,7804,17060,12540,19968,5595,48,986,799,0,0,0,29882,134616,31,147109,114481,32539,100440,39625,124136,57200,70650
Thailand,Pac-WC,Sardinellas nei,"Pacific, Western Central",THA,SIX,35,"Herrings, sardines, anchovies",forage fish,,,,,,,,,,,,,,,,,,,,,26200,28800,11400,34300,58100,62299,64030,211094,142173,150804,102999,137734,89842,100325,86952,70197,94585,85553,91048,115534,92281,115641,142634,113860,125179,141180,161771,151708,129045,128492,121738,111138,108229,109399,103303,110463,90250,81562,78859,83612,77670,46789,59428,60441,62573,58637
Thailand,Pac-WC,Common squids nei,"Pacific, Western Central",THA,SQC,57,"Squids, cuttlefishes, octopuses",cephalopods,,,,,,,,,,,,,,,,,,,,,21300,23400,44600,37400,41600,37191,35478,47210,47185,37293,36203,43778,66308,72140,59693,59077,65292,68326,60934,62732,57608,56551,51209,55867,55762,59624,56006,55740,68788,62613,64671,60532,70060,65578,56856,63628,63377,53489,57766,54903,70876,78387,66988,63499,55696,51120
Thailand,Pac-WC,Threadfin breams nei,"Pacific, Western Central",THA,THB,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,13200,14600,20600,18300,18100,19178,16167,17331,21154,18201,15557,17192,14962,13153,12768,15358,22660,29820,26508,29776,26282,34125,51655,57903,55850,71637,64749,62994,59683,69949,74544,79505,89320,85226,74160,80700,69305,64211,25024,25799,24938,38113,40409,45081,38940,41950
Thailand,Pac-WC,Carangids nei,"Pacific, Western Central",THA,CGX,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,6500,7100,8900,14300,10400,13480,21944,27861,34476,19339,22470,44215,11379,21148,17621,49454,38320,33347,56396,42043,38841,35928,42531,42224,55616,47456,44365,41356,35599,35668,30381,41716,38647,37526,39850,35882,29772,28021,24230,22724,33219,33383,31164,32591,31054,31383
Thailand,Ind-E,"Anchovies, etc. nei","Indian Ocean, Eastern",THA,ANX,35,"Herrings, sardines, anchovies",forage fish,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,606,957,1151,763,536,122,414,448,413,136,1413,251,484,782,12007,36596,41584,66630,44892,39547,40112,35771,31295,26080,24436,27890,21110,23911,24545,31865,26701,24110,34322,31078,32820,32190,32842,29826,29096
Thailand,Pac-WC,Indian mackerel,"Pacific, Western Central",THA,RAG,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,13600,14900,13900,23600,19100,21161,22696,30826,34613,26340,26908,19702,20261,51343,31236,35807,40926,37611,20221,28000,22176,17849,31577,35986,50898,45338,21328,19276,19393,26912,21902,14620,17273,16826,18479,17857,16758,13584,15214,12304,18300,30764,27702,32398,30790,28797
Thailand,Pac-WC,Lizardfishes nei,"Pacific, Western Central",THA,LIX,33,Miscellaneous coastal fishes,other marine fish,,,,,,,,,,,,,,,,,,,,,9400,10400,14800,12700,10800,11161,8048,11349,11932,9930,9826,7622,7754,8557,8685,8519,13281,16478,16234,17201,13169,19750,31840,42486,35593,58482,51004,62397,35289,60534,52601,65821,73330,66496,47194,49389,42459,37563,15053,14038,16243,22322,25194,31958,28342,28498
Thailand,Pac-WC,Bigeyes nei,"Pacific, Western Central",THA,BIG,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,9600,10600,15200,11500,11800,14171,11723,17777,13026,11016,15302,14131,8896,10299,9265,10986,17267,24121,21874,21749,21219,25269,36221,49710,44680,57723,67411,62675,64873,71127,65168,59926,63862,63682,89495,85007,75118,71458,19658,19235,21198,20944,22949,24440,22090,23202
Thailand,Pac-WC,Indian scad,"Pacific, Western Central",THA,RUS,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,3800,4200,2900,15900,34800,26332,83628,129896,106490,27017,30069,35006,32080,24521,27479,25667,23947,41842,14016,17263,10676,22747,42525,46186,38394,54641,52648,47498,57893,56461,67902,67144,71408,68627,68519,52197,46204,45347,3731,4186,17705,19618,17575,21234,22173,20327
Thailand,Ind-E,Indian mackerel,"Indian Ocean, Eastern",THA,RAG,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,0,0,0,100,1300,1771,3189,2545,2392,2881,976,840,1226,1904,2200,1163,965,2265,5587,7127,10117,14709,8547,13743,13695,25118,23801,23400,24289,20973,13301,17329,15488,17364,16410,27848,23715,18820,16899,17122,20404,23421,21097,17742,18976,19396
Thailand,Pac-WC,"Cuttlefish, bobtail squids nei","Pacific, Western Central",THA,CTL,57,"Squids, cuttlefishes, octopuses",cephalopods,,,,,,,,,,,,,,,,,,,,,11900,13100,23700,22000,20500,24517,23385,30098,30746,26293,23475,23582,35338,42477,47776,35778,45122,40728,41347,49187,45655,50077,48036,44456,41987,45358,39548,38985,40940,39956,37714,38754,41963,43386,39224,42484,34850,30101,13873,15854,17933,17694,20288,21426,17494,19166
Thailand,Pac-WC,Blue swimming crab,"Pacific, Western Central",THA,SCD,42,"Crabs, sea-spiders",crabs-lobsters,,,,,,,,,,,,,,8800,8900,10700,12900,12900,23500,13700,13500,14800,15800,16700,24100,18607,19131,21224,20481,23597,24302,23230,20946,21858,18618,18705,24120,29400,32132,29969,30402,31190,31784,33641,35157,35414,36219,34916,37281,33864,37219,29134,21407,22825,22113,18567,23860,16638,16156,15132,14262,18411,24741,19216,18721,17397
Thailand,Ind-E,Threadfin breams nei,"Indian Ocean, Eastern",THA,THB,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,300,300,500,500,900,673,737,2493,2524,2224,2459,3204,2378,3123,2284,1738,4141,4314,3051,3898,4857,12905,13722,17424,19260,22148,24843,24773,36912,23088,27738,27153,32056,27275,31735,23936,27278,28250,15127,17093,17357,11271,12860,20027,16338,16545
Thailand,Ind-E,Indian mackerels nei,"Indian Ocean, Eastern",THA,RAX,37,Miscellaneous pelagic fishes,carangids-mackerels,2300,3100,2700,2900,3300,2900,2900,3400,2700,2200,1800,1400,2200,1400,3000,4200,5300,5600,8900,7900,5500,6000,2500,3300,300,1298,2510,4623,2354,4511,1797,2249,10089,13179,14333,13757,13868,15143,12122,17570,25258,38821,32953,66985,65499,46945,48061,46999,43927,38935,32002,34625,30780,43744,38328,49548,47114,41171,27297,33823,35536,11847,15299,18094,16506,15663
Thailand,Ind-E,Indian scad,"Indian Ocean, Eastern",THA,RUS,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,132,1450,886,1044,895,2370,3758,9580,16777,8025,2464,14298,17743,22330,22559,23982,8434,8984,35994,22981,32557,30658,28270,28113,25331,25264,32576,30118,31836,33663,28879,23265,22514,24304,16374,14443,16808,12971,14095,14625
