fao_region_num,fao_region_name,fao_region_long
18,Arctic Sea,18-Arctic Sea
21,"Atlantic, Northwest","21-Atlantic, Northwest"
27,"Atlantic, Northeast","27-Atlantic, Northeast"
31,"Atlantic, Western Central","31-Atlantic, Western Central"
34,"Atlantic, Eastern Central ","34-Atlantic, Eastern Central "
37,Mediterranean and Black Sea,37-Mediterranean and Black Sea
41,"Atlantic, Southwest ","41-Atlantic, Southwest "
47,"Atlantic, Southeast ","47-Atlantic, Southeast "
48,"Atlantic, Antarctic","48-Atlantic, Antarctic"
51,"Indian Ocean, Western ","51-Indian Ocean, Western "
57,"Indian Ocean, Eastern ","57-Indian Ocean, Eastern "
58,"Indian Ocean, Antarctic and Southern","58-Indian Ocean, Antarctic and Southern"
61,"Pacific, Northwest ","61-Pacific, Northwest "
67,"Pacific, Northeast ","67-Pacific, Northeast "
71,"Pacific, Western Central ","71-Pacific, Western Central "
77,"Pacific, Eastern Central","77-Pacific, Eastern Central"
81,"Pacific, Southwest","81-Pacific, Southwest"
87,"Pacific, Southeast ","87-Pacific, Southeast "
88,"Pacific, Antarctic","88-Pacific, Antarctic"
