Scientific_name (FAO),English_name (FAO),ISSCAAP name,taxgroup
Cycleptus elongatus,Blue sucker,"Carps, barbels and other cyprinids",other fw fish
Deltistes luxatus,Lost River sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomus catostomus,Longnose sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomus commersoni,White sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomus latipinnis,Flannelmouth sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomus macrocheilus,Largescale sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomus tahoensis,Tahoe sucker,"Carps, barbels and other cyprinids",other fw fish
Moxostoma congestum,Gray redhorse,"Carps, barbels and other cyprinids",other fw fish
Moxostoma erythrurum,Golden redhorse,"Carps, barbels and other cyprinids",other fw fish
Moxostoma macrolepidotum,Shorthead redhorse,"Carps, barbels and other cyprinids",other fw fish
Lagochila lacera,Harelip sucker,"Carps, barbels and other cyprinids",other fw fish
Ictiobus cyprinellus,Bigmouth buffalo,"Carps, barbels and other cyprinids",other fw fish
Ictiobus spp,Buffalofishes nei,"Carps, barbels and other cyprinids",other fw fish
Myxocyprinus asiaticus,Chinese sucker,"Carps, barbels and other cyprinids",other fw fish
Carpiodes carpio,River carpsucker,"Carps, barbels and other cyprinids",other fw fish
Xyrauchen texanus,Razorback sucker,"Carps, barbels and other cyprinids",other fw fish
Chasmistes cujus,Cui-ui,"Carps, barbels and other cyprinids",other fw fish
Minytrema melanops,Spotted sucker,"Carps, barbels and other cyprinids",other fw fish
Erimyzon sucetta,Lake chubsucker,"Carps, barbels and other cyprinids",other fw fish
Hypentelium nigricans,Northern hog sucker,"Carps, barbels and other cyprinids",other fw fish
Catostomidae,Suckers nei,"Carps, barbels and other cyprinids",other fw fish
Abramis brama,Freshwater bream,"Carps, barbels and other cyprinids",other fw fish
Abramis spp,Freshwater breams nei,"Carps, barbels and other cyprinids",other fw fish
Cyprinus carpio,Common carp,"Carps, barbels and other cyprinids",other fw fish
Cyprinus pellegrini,Barbless carp,"Carps, barbels and other cyprinids",other fw fish
Aaptosyax grypus,,"Carps, barbels and other cyprinids",other fw fish
Abbottina rivularis,Chinese false gudgeon,"Carps, barbels and other cyprinids",other fw fish
Acanthalburnus microlepis,Blackbrow bleak,"Carps, barbels and other cyprinids",other fw fish
Tinca tinca,Tench,"Carps, barbels and other cyprinids",other fw fish
Acapoeta tanganicae,,"Carps, barbels and other cyprinids",other fw fish
Alburnus alburnus,Bleak,"Carps, barbels and other cyprinids",other fw fish
Alburnus albidus,,"Carps, barbels and other cyprinids",other fw fish
Barbus barbus,Barbel,"Carps, barbels and other cyprinids",other fw fish
Barbus meridionalis,Mediterranean barbel,"Carps, barbels and other cyprinids",other fw fish
Barbus canis,,"Carps, barbels and other cyprinids",other fw fish
Barbus aeneus,Smallmouth yellowfish,"Carps, barbels and other cyprinids",other fw fish
Barbus capensis,Clanwilliam yellowfish,"Carps, barbels and other cyprinids",other fw fish
Barbus haasi,,"Carps, barbels and other cyprinids",other fw fish
Barbus holotaenia,Spotscale barb,"Carps, barbels and other cyprinids",other fw fish
Barbus johnstonii,,"Carps, barbels and other cyprinids",other fw fish
Barbus macrotaenia,Broadband barb,"Carps, barbels and other cyprinids",other fw fish
Barbus neumayeri,,"Carps, barbels and other cyprinids",other fw fish
Barbus longiceps,,"Carps, barbels and other cyprinids",other fw fish
Barbus plebejus,,"Carps, barbels and other cyprinids",other fw fish
Barbus altianalis,Ripon barbel,"Carps, barbels and other cyprinids",other fw fish
Barbus altidorsalis,,"Carps, barbels and other cyprinids",other fw fish
Barbus bynni,,"Carps, barbels and other cyprinids",other fw fish
Barbus callensis,Algerian barb,"Carps, barbels and other cyprinids",other fw fish
