x,mean,lower,upper
1950.179,2.987,0.6006,7.9766
1950.194,2.992,0.6003,7.976
1950.314,3.0511,0.5976,7.9708
1950.893,3.1231,0.5844,7.94
1951.553,3.0027,0.5683,7.8559
1952.142,2.8978,0.5514,7.5435
1952.45,2.8589,0.5403,7.4251
1952.7,2.8411,0.5285,7.3453
1953.119,2.8354,0.4936,7.2072
1953.475,2.841,0.5045,7.0591
1953.903,2.8386,0.5348,6.8468
1954,2.8348,0.5409,6.8001
1954.49,2.7975,0.5624,6.6066
1955.078,2.7294,0.558,6.1267
1955.083,2.7288,0.5578,6.1261
1955.607,2.661,0.5045,6.0923
1955.943,2.6186,0.4282,6.0848
1957.157,2.5103,0.5045,6.1211
1957.214,2.5085,0.5649,6.1261
1957.689,2.5225,1.2562,6.1851
1958.26,2.955,2.138,6.2947
1958.279,3.0193,0.7958,6.299
1958.316,3.1288,0.6486,6.3069
1958.758,3.4996,1.2017,6.3904
1959.021,3.5315,1.5756,6.386
1959.445,3.5153,1.994,6.246
1959.733,3.4823,2.0982,6.1261
1961.004,3.2279,1.6336,5.6012
1961.356,3.1231,1.5136,5.4335
1961.495,3.067,1.4852,5.3574
1961.553,3.0351,1.4758,5.3225
1961.896,3.0448,1.4372,4.6416
1962.097,3.0613,1.4094,4.5165
1962.173,3.0587,1.3934,4.4775
1962.327,3.027,1.3473,4.4019
1962.728,2.4505,1.1739,4.2172
1963.119,2.3303,1.018,4.0464
1963.151,2.4497,1.009,4.0326
1963.308,2.5225,0.9751,3.966
1963.664,2.4655,0.9382,3.8198
1964.247,2.2566,0.9031,3.7237
1964.283,2.2342,0.9005,3.7274
1964.484,1.97,0.8849,3.7378
1964.704,2.0289,0.8649,3.7349
1965.255,2.1141,0.8043,3.6843
1965.606,2.0089,0.7616,3.6276
1966.037,1.8258,0.7076,3.5388
1966.617,1.8739,0.6354,3.3966
1966.815,1.7057,0.6116,3.3428
1967.396,1.7057,0.5481,3.1629
1967.556,1.6,0.5336,3.0991
1967.561,1.5956,0.5332,2.9069
1967.618,1.5374,0.5285,2.8825
1967.791,1.4174,0.5169,2.8267
1968.365,1.7057,0.5118,2.6698
1968.537,1.7274,0.5195,2.6186
1969.53,1.5856,0.5524,2.5006
1969.555,1.5779,0.5526,2.4975
1970.119,1.2733,0.5488,2.4267
1970.316,1.1532,0.5457,2.4017
1970.869,1.26,0.5342,2.3303
1971.281,1.2973,0.524,2.281
1971.451,1.2942,0.5197,2.2823
1972.446,1.2012,0.4941,2.2438
1973.238,1.3019,0.4805,2.2046
1973.412,1.3213,0.4806,2.1955
1973.585,1.3303,0.4832,2.1862
1974.576,1.2492,0.5522,2.129
1974.593,1.2462,0.5526,2.128
1975.549,1.0571,0.5522,2.0638
1976.107,1.0443,0.5454,2.018
1976.712,1.0571,0.5374,1.9507
1977.273,1.0453,0.5312,1.8979
1977.693,1.0219,0.5285,1.8891
1977.876,1.009,0.5282,1.889
1978.823,0.9611,0.5382,1.8979
1978.845,0.961,0.5388,1.8981
1980.21,1.0157,0.6006,1.8988
1980.373,1.0309,0.612,1.8979
1980.394,1.033,0.6135,1.8978
1981.148,1.1313,0.6732,1.8979
1981.535,1.1823,0.7043,1.8979
1981.746,1.2012,0.72,1.89
1982.144,1.2072,0.7447,1.8749
1982.908,1.2252,0.7672,1.848
1983.5,1.2923,0.7928,1.8316
1983.862,1.337,0.8403,1.8258
1984.648,1.3934,0.9362,1.8495
1984.659,1.3932,0.9369,1.8503
1985.023,1.351,0.9529,1.8739
1985.815,1.2012,0.962,1.8795
1986.573,1.2099,0.9613,1.8739
1986.983,1.2403,0.961,1.8731
1987.942,1.3453,0.9639,1.8746
1988.705,1.4488,0.9691,1.8739
1989.875,1.5616,0.9819,1.8665
1990.082,1.5627,0.985,1.8647
1991.418,1.4572,1.0083,1.8498
1991.816,1.4174,1.0091,1.8445
1991.826,1.4165,1.009,1.8443
1993.161,1.3158,0.9967,1.8498
1993.957,1.289,1.009,1.8787
1994.531,1.2973,1.0273,1.9113
1995.676,1.4393,1.0819,2.018
1996.655,1.6096,1.1493,2.175
1997.439,1.7108,1.2252,2.3297
1998.184,1.7955,1.3326,2.4745
1999.745,1.994,1.6322,2.7439
1999.754,1.9954,1.6336,2.7454
2000.885,2.2131,1.7956,2.955
2002.039,2.4939,1.9395,3.2913
2002.058,2.4985,1.9419,3.2953
2002.651,2.6309,2.018,3.3979
2003.776,2.84,2.2015,3.5796
2004.159,2.9035,2.2755,3.7718
2004.18,2.9069,2.2795,3.776
2004.195,2.9094,2.2823,3.779
2005.35,3.1006,2.5706,3.9646
2005.728,3.1709,2.979,4.022
2006.668,3.4048,3.1354,4.1802
2006.686,3.4114,3.1391,4.1839
2006.885,3.4945,3.1952,4.2286
2007.434,4.0001,3.5079,4.5165
2007.447,4.012,3.5078,4.5237
2007.459,4.0232,3.5075,4.5306
2008.22,4.0841,3.4001,4.7356
2008.399,3.9611,3.3712,4.6847
2008.604,3.7801,3.3412,4.2042
2009.009,3.4835,3.2984,5.0076
2009.352,3.9469,3.2895,5.3574
2009.384,4.036,3.2905,5.3776
2009.402,4.0833,3.2913,5.3882
2009.756,4.6366,3.3329,5.5149
2010.711,5.2132,3.843,5.5245
2010.743,5.2131,3.8919,5.5222
2010.922,5.1947,4.5165,5.5101
2011.092,5.1568,4.5629,5.5015
2012.076,4.8769,4.6356,5.5431
2012.081,4.8766,4.6366,5.5437
2012.832,5.4217,5.0557,5.6456
2012.837,5.4294,5.0607,5.6464
2012.846,5.4423,5.0691,5.6477
