scientificname (RAM),commonname1 (RAM),FisheryType,taxgroup,ISSCAAP name
Allocyttus niger,Black oreo,Other Marine,other marine fish,Miscellaneous demersal fishes
Amblyraja radiata,Thorny skate,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Ammodytes hexapterus,Pacific sand lance,Forage Fish,forage fish,Miscellaneous coastal fishes
Ammodytes marinus,Sand eel,Forage Fish,forage fish,Miscellaneous coastal fishes
Ammodytes personatus,Pacific sandlance,Forage Fish,forage fish,Miscellaneous coastal fishes
Anarhichas lupus,Atlantic wolffish,Other Marine,other marine fish,Miscellaneous demersal fishes
Anoplopoma fimbria,Sablefish,Other Marine,other scorpaenids,Miscellaneous demersal fishes
Archosargus rhomboidalis,Sea bream,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Arctica islandica,Ocean quahog,Invertebrate,bivalves-gastropods,"Clams, cockles, arkshells"
Arctoscopus japonicus,Sailfin sandfish,Other Marine,other marine fish,Miscellaneous demersal fishes
Argentina silus,Greater silver smelt,Forage Fish,forage fish,Miscellaneous demersal fishes
Aristaeomorpha foliacea,Giant red shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Aristeus antennatus,Red shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Arius spp,Catfish,Other Marine,other marine fish,Miscellaneous coastal fishes
Arripis trutta,Australian salmon,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Atheresthes evermanni,Kamchatka flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Atheresthes stomias,Arrowtooth flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Balistes capriscus,Gray triggerfish,Other Marine,other marine fish,Miscellaneous coastal fishes
Bathyraja parmifera,Alaska skate,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Beryx splendens,Alfonsino,Other Marine,other marine fish,Miscellaneous demersal fishes
Beryx spp.,Beryx spp.,Other Marine,other marine fish,Miscellaneous demersal fishes
Brachydeuterus auritus,Bigeye grunt,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Branchiostegus japonicus,Horsehead tilefish,Other Marine,other marine percoidids,Miscellaneous demersal fishes
Brevoortia patronus,Gulf menhaden,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Brevoortia tyrannus,Atlantic menhaden,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Brosme brosme,Cusk,Gadids,gadids,"Cods, hakes, haddocks"
Buccinum undatum,Waved whelk,Invertebrate,bivalves-gastropods,"Abalones, winkles, conchs"
Callinectes sapidus,Blue Crab,Invertebrate,crabs-lobsters,"Crabs, sea-spiders"
Cancer irroratus,Rock crab,Invertebrate,crabs-lobsters,"Crabs, sea-spiders"
Capros aper,Boarfish,Other Marine,other marine fish,Miscellaneous demersal fishes
Caranx rhonchus,False scad,Forage Fish,carangids-mackerels,Miscellaneous pelagic fishes
Carcharhinus acronotus,Blacknose shark,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Carcharhinus isodon,Finetooth shark,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Carcharhinus limbatus,Blacktip shark,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Carcharhinus obscurus,Dusky shark,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Carcharhinus plumbeus,Sandbar shark,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Caulolatilus microps,Blueline tilefish,Other Marine,other marine percoidids,Miscellaneous demersal fishes
Centroberyx affinis,Redfish,Other Marine,other marine fish,Miscellaneous demersal fishes
Centroberyx gerrardi,Bight redfish,Other Marine,other marine fish,Miscellaneous demersal fishes
Centropristis striata,Black sea bass,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Cervimunida johni,Blue squat lobster,Invertebrate,crabs-lobsters,"King crabs, squat-lobsters"
Chaceon quinquedens,Red deepsea crab,Invertebrate,crabs-lobsters,"Crabs, sea-spiders"
Chionoecetes bairdi,Tanner crab,Invertebrate,crabs-lobsters,"Crabs, sea-spiders"
Chionoecetes japonicus,Beni-zuwai crab,Invertebrate,crabs-lobsters,"Crabs, sea-spiders"
Chionoecetes opilio,Snow crab,Invertebrate,crabs-lobsters,"Crabs, sea-spiders"
Chrysophrys auratus,New Zealand snapper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Cleisthenes herzensteini,Pointhead flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Clidoderma asperrimum,Roughscale sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Clupea bentincki,Chilean herring,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Clupea harengus,Herring,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Clupea pallasii,Pacific herring,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Clupeonella engrauliformis,Anchovy kilka,Forage Fish,forage fish,Shads
Cololabis saira,Pacific saury,Forage Fish,forage fish,Miscellaneous pelagic fishes
Conger myriaster,Whitespotted conger,Other Marine,eels,Miscellaneous demersal fishes
Coryphaenoides rupestris,Roundnose grenadier,Gadids,gadids,"Cods, hakes, haddocks"
Cynoglossus spp,Sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Cynoscion regalis,Weakfish,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Decapterus muroadsi,Amberstripe scad,Forage Fish,carangids-mackerels,Miscellaneous pelagic fishes
Dentex macrophthalmus,Large-eye dentex,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Dentex spp,Seabream,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Dentex tumifrons,Yellow sea bream,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Dicentrarchus labrax,European seabass,Other Marine,other marine percoidids,Miscellaneous coastal fishes
