Region ,Stock ,Latin binomial ,F/Fmsy ,SAR ,FP (%) ,SO (%) 
Adriatic Sea (GFCM 2.1) ,common sole ,Solea solea ,4.14 ,7.93 ,80.7 ,42.2 
Adriatic Sea (GFCM 2.1) ,hake ,Merluccius merluccius ,8.48 ,7.93 ,80.7 ,28.3 
Adriatic Sea (GFCM 2.1) ,red mullet ,Mullus barbatus ,1.75 ,7.93 ,80.7 ,28.3 
Skagerrak and Kattegat (ICES 3a) ,Atlantic cod ,Gadus morhua ,3.86 ,3.33 ,54.4 ,NA 
Skagerrak and Kattegat (ICES 3a) ,Atlantic cod ,Gadus morhua ,1.60 ,3.33 ,54.4 ,NA 
"North Sea (ICES 4a, b, c) ",common sole ,Solea solea ,2.21 ,1.19 ,51.7 ,NA 
"North Sea (ICES 4a, b, c) ",European Plaice ,Pleuronectes platessa ,1.24 ,1.19 ,51.7 ,NA 
"North Sea (ICES 4a, b, c) ",hake ,Merluccius merluccius ,1.67 ,1.19 ,51.7 ,NA 
"North Sea (ICES 4a, b, c) ",Norway lobster ,Nephrops norvegicus ,1.04 ,1.19 ,51.7 ,NA 
"North Sea (ICES 4a, b, c) ",Norway lobster ,Nephrops norvegicus ,1.36 ,1.19 ,51.7 ,NA 
"North Sea (ICES 4a, b, c) ",Norway lobster ,Nephrops norvegicus ,1.13 ,1.19 ,51.7 ,NA 
Tyrrhenian Sea (GFCM 1.3) ,blue whiting ,Micromesistius poutassou ,1.71 ,2.29 ,49.9 ,69.1 
Tyrrhenian Sea (GFCM 1.3) ,giant red shrimp ,Aristaeomorpha foliacea ,0.37 ,2.29 ,49.9 ,27.8 
Tyrrhenian Sea (GFCM 1.3) ,giant red shrimp ,Aristaeomorpha foliacea ,2.13 ,2.29 ,49.9 ,19.9 
Tyrrhenian Sea (GFCM 1.3) ,giant red shrimp ,Aristaeomorpha foliacea ,1.34 ,2.29 ,49.9 ,69.1 
Tyrrhenian Sea (GFCM 1.3) ,hake ,Merluccius merluccius ,5.00 ,2.29 ,49.9 ,31.0 
Tyrrhenian Sea (GFCM 1.3) ,Norway lobster ,Nephrops norvegicus ,1.81 ,2.29 ,49.9 ,69.1 
Tyrrhenian Sea (GFCM 1.3) ,red mullet ,Mullus barbatus ,5.40 ,2.29 ,49.9 ,NA 
Tyrrhenian Sea (GFCM 1.3) ,red mullet ,Mullus barbatus ,1.15 ,2.29 ,49.9 ,69.1 
Tyrrhenian Sea (GFCM 1.3) ,red mullet ,Mullus barbatus ,2.74 ,2.29 ,49.9 ,27.8 
Tyrrhenian Sea (GFCM 1.3) ,spottail mantis shrimp ,Squilla mantis ,2.31 ,2.29 ,49.9 ,69.1 
Tyrrhenian Sea (GFCM 1.3) ,surmullet ,Mullus surmuletus ,2.10 ,2.29 ,49.9 ,69.1 
Irish Sea (ICES 7a) ,Atlantic cod ,Gadus morhua ,3.29 ,1.46 ,28.5 ,99.4 
Irish Sea (ICES 7a) ,common sole ,Solea solea ,1.64 ,1.46 ,28.5 ,99.4 
